reg	tgt	huang_leaf	huang_root	huang_sam	huang_seed	walley_rna
Zm00001d002744	Zm00001d017601	NA	NA	NA	NA	NA
Zm00001d002744	Zm00001d027519	NA	NA	NA	NA	NA
Zm00001d002744	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d002744	Zm00001d045706	NA	NA	NA	NA	NA
Zm00001d002744	Zm00001d050955	NA	NA	NA	NA	NA
Zm00001d005100	Zm00001d017077	NA	NA	NA	NA	NA
Zm00001d005100	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d005100	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d005100	Zm00001d051163	NA	NA	NA	NA	NA
Zm00001d005100	Zm00001d051896	NA	NA	NA	NA	NA
Zm00001d005622	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d005622	Zm00001d033055	NA	NA	NA	NA	NA
Zm00001d005622	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d005622	Zm00001d051163	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d012274	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d017186	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d017275	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d018184	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d027519	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d032468	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d044340	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d045706	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d008356	Zm00001d052673	NA	NA	NA	NA	NA
Zm00001d009622	Zm00001d003129	NA	NA	NA	NA	NA
Zm00001d009622	Zm00001d012274	NA	NA	NA	NA	NA
Zm00001d009622	Zm00001d032152	NA	NA	NA	NA	NA
Zm00001d009622	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d002346	NA	NA	NA	NA	NA
Zm00001d009823	Zm00001d003015	NA	NA	NA	NA	NA
