reg.gid	tgt.gid
Zm00001d037317	Zm00001d045685
Zm00001d037317	Zm00001d032132
Zm00001d037317	Zm00001d038192
Zm00001d037317	Zm00001d042362
Zm00001d037317	Zm00001d007827
Zm00001d037317	Zm00001d016720
Zm00001d037317	Zm00001d017539
Zm00001d037317	Zm00001d008737
Zm00001d037317	Zm00001d046210
Zm00001d037317	Zm00001d031463
Zm00001d037317	Zm00001d015737
Zm00001d037317	Zm00001d028867
Zm00001d037317	Zm00001d041912
Zm00001d037317	Zm00001d031061
Zm00001d037317	Zm00001d024724
Zm00001d037317	Zm00001d045028
Zm00001d037317	Zm00001d018498
Zm00001d037317	Zm00001d027444
Zm00001d037317	Zm00001d039653
Zm00001d037317	Zm00001d051585
Zm00001d037317	Zm00001d024571
Zm00001d037317	Zm00001d033925
Zm00001d037317	Zm00001d005951
Zm00001d037317	Zm00001d020629
Zm00001d037317	Zm00001d020902
Zm00001d037317	Zm00001d043613
Zm00001d037317	Zm00001d011757
Zm00001d037317	Zm00001d017036
Zm00001d037317	Zm00001d034420
Zm00001d037317	Zm00001d018911
Zm00001d037317	Zm00001d043098
Zm00001d037317	Zm00001d001999
Zm00001d037317	Zm00001d025951
Zm00001d037317	Zm00001d025241
Zm00001d037317	Zm00001d003945
Zm00001d037317	Zm00001d035266
Zm00001d037317	Zm00001d042837
Zm00001d037317	Zm00001d038642
Zm00001d037317	Zm00001d035445
Zm00001d037317	Zm00001d023544
Zm00001d037317	Zm00001d043414
Zm00001d037317	Zm00001d051595
Zm00001d037317	Zm00001d030834
Zm00001d037317	Zm00001d038163
Zm00001d037317	Zm00001d044131
Zm00001d037317	Zm00001d026632
Zm00001d037317	Zm00001d024525
Zm00001d037317	Zm00001d007835
Zm00001d037317	Zm00001d030020
Zm00001d037317	Zm00001d005897
Zm00001d037317	Zm00001d003401
Zm00001d037317	Zm00001d002159
Zm00001d037317	Zm00001d051439
Zm00001d037317	Zm00001d038287
Zm00001d037317	Zm00001d007842
Zm00001d037317	Zm00001d007862
Zm00001d037317	Zm00001d002625
Zm00001d037317	Zm00001d037941
Zm00001d037317	Zm00001d021952
Zm00001d037317	Zm00001d042344
Zm00001d037317	Zm00001d021236
Zm00001d037317	Zm00001d045042
Zm00001d037317	Zm00001d002132
Zm00001d037317	Zm00001d029059
Zm00001d037317	Zm00001d017782
Zm00001d037317	Zm00001d002004
Zm00001d037317	Zm00001d032114
Zm00001d037317	Zm00001d053395
Zm00001d037317	Zm00001d037684
Zm00001d037317	Zm00001d043205
Zm00001d037317	Zm00001d004248
Zm00001d037317	Zm00001d018973
Zm00001d037317	Zm00001d051216
Zm00001d037317	Zm00001d008851
Zm00001d037317	Zm00001d003645
Zm00001d037317	Zm00001d037114
Zm00001d037317	Zm00001d002316
Zm00001d037317	Zm00001d016593
Zm00001d037317	Zm00001d044185
Zm00001d037317	Zm00001d003404
Zm00001d037317	Zm00001d002521
Zm00001d037317	Zm00001d020430
Zm00001d037317	Zm00001d039865
Zm00001d037317	Zm00001d049055
Zm00001d037317	Zm00001d040046
Zm00001d037317	Zm00001d027430
Zm00001d037317	Zm00001d030842
Zm00001d037317	Zm00001d032229
Zm00001d037317	Zm00001d005298
Zm00001d037317	Zm00001d045427
Zm00001d037317	Zm00001d012731
Zm00001d037317	Zm00001d034665
Zm00001d037317	Zm00001d028762
Zm00001d037317	Zm00001d047554
Zm00001d037317	Zm00001d052442
Zm00001d037317	Zm00001d015505
Zm00001d037317	Zm00001d017949
Zm00001d037317	Zm00001d022390
Zm00001d037317	Zm00001d045098
