reg.gid	tgt.gid
Zm00001d053595	Zm00001d011601
Zm00001d053595	Zm00001d028229
Zm00001d053595	Zm00001d021814
Zm00001d053595	Zm00001d016103
Zm00001d053595	Zm00001d026032
Zm00001d053595	Zm00001d037768
Zm00001d053595	Zm00001d037120
Zm00001d053595	Zm00001d002834
Zm00001d053595	Zm00001d002833
Zm00001d053595	Zm00001d012619
Zm00001d053595	Zm00001d002333
Zm00001d053595	Zm00001d021738
Zm00001d053595	Zm00001d021006
Zm00001d053595	Zm00001d053675
Zm00001d053595	Zm00001d023387
Zm00001d053595	Zm00001d002474
Zm00001d053595	Zm00001d032576
Zm00001d053595	Zm00001d046262
Zm00001d053595	Zm00001d029195
Zm00001d053595	Zm00001d046925
Zm00001d053595	Zm00001d046743
Zm00001d053595	Zm00001d028651
Zm00001d053595	Zm00001d048070
Zm00001d053595	Zm00001d005981
Zm00001d053595	Zm00001d021595
Zm00001d053595	Zm00001d003068
Zm00001d053595	Zm00001d044995
Zm00001d053595	Zm00001d048595
Zm00001d053595	Zm00001d008209
Zm00001d053595	Zm00001d003447
Zm00001d053595	Zm00001d018712
Zm00001d053595	Zm00001d000122
Zm00001d053595	Zm00001d044411
Zm00001d053595	Zm00001d048601
Zm00001d053595	Zm00001d006437
Zm00001d053595	Zm00001d051216
Zm00001d053595	Zm00001d043589
Zm00001d053595	Zm00001d045097
Zm00001d053595	Zm00001d033362
Zm00001d053595	Zm00001d023800
Zm00001d053595	Zm00001d042445
Zm00001d053595	Zm00001d048709
Zm00001d053595	Zm00001d048710
Zm00001d053595	Zm00001d026047
Zm00001d053595	Zm00001d012141
Zm00001d053595	Zm00001d038002
Zm00001d053595	Zm00001d046941
Zm00001d053595	Zm00001d024821
Zm00001d053595	Zm00001d020607
Zm00001d053595	Zm00001d028992
Zm00001d053595	Zm00001d013766
Zm00001d053595	Zm00001d032240
Zm00001d053595	Zm00001d010798
Zm00001d053595	Zm00001d030570
Zm00001d053595	Zm00001d014241
Zm00001d053595	Zm00001d028816
Zm00001d053595	Zm00001d028814
Zm00001d053595	Zm00001d045940
Zm00001d053595	Zm00001d038539
Zm00001d053595	Zm00001d003015
Zm00001d053595	Zm00001d020143
Zm00001d053595	Zm00001d034745
Zm00001d053595	Zm00001d042209
Zm00001d053595	Zm00001d048353
Zm00001d053595	Zm00001d006481
Zm00001d053595	Zm00001d032669
Zm00001d053595	Zm00001d051686
Zm00001d053595	Zm00001d020592
Zm00001d053595	Zm00001d005399
Zm00001d053595	Zm00001d008326
Zm00001d053595	Zm00001d052058
Zm00001d053595	Zm00001d011241
Zm00001d053595	Zm00001d030982
Zm00001d053595	Zm00001d013630
Zm00001d053595	Zm00001d032271
Zm00001d053595	Zm00001d004506
Zm00001d053595	Zm00001d050272
Zm00001d053595	Zm00001d002129
Zm00001d053595	Zm00001d028561
Zm00001d053595	Zm00001d046793
Zm00001d053595	Zm00001d029091
Zm00001d053595	Zm00001d002305
Zm00001d053595	Zm00001d028170
Zm00001d053595	Zm00001d028469
Zm00001d053595	Zm00001d026606
Zm00001d053595	Zm00001d032938
Zm00001d053595	Zm00001d032356
Zm00001d053595	Zm00001d053732
Zm00001d053595	Zm00001d039042
Zm00001d053595	Zm00001d021688
Zm00001d053595	Zm00001d052387
Zm00001d053595	Zm00001d020512
Zm00001d053595	Zm00001d003657
Zm00001d053595	Zm00001d018332
Zm00001d053595	Zm00001d012693
Zm00001d053595	Zm00001d032175
Zm00001d053595	Zm00001d011358
Zm00001d053595	Zm00001d005322
Zm00001d053595	Zm00001d053676
Zm00001d053595	Zm00001d020851
Zm00001d053595	Zm00001d039306
Zm00001d053595	Zm00001d028669
Zm00001d053595	Zm00001d034421
Zm00001d053595	Zm00001d026459
Zm00001d053595	Zm00001d021432
Zm00001d053595	Zm00001d003160
Zm00001d053595	Zm00001d011246
Zm00001d053595	Zm00001d036761
Zm00001d053595	Zm00001d035283
Zm00001d053595	Zm00001d013135
Zm00001d053595	Zm00001d022439
Zm00001d053595	Zm00001d047553
