reg.gid	tgt.gid
Zm00001d033859	Zm00001d040002
Zm00001d033859	Zm00001d036280
Zm00001d033859	Zm00001d043430
Zm00001d033859	Zm00001d032229
Zm00001d033859	Zm00001d034628
Zm00001d033859	Zm00001d048229
Zm00001d033859	Zm00001d029173
Zm00001d033859	Zm00001d049094
Zm00001d033859	Zm00001d011748
Zm00001d033859	Zm00001d031061
Zm00001d033859	Zm00001d051344
Zm00001d033859	Zm00001d051514
Zm00001d033859	Zm00001d050368
Zm00001d033859	Zm00001d025944
Zm00001d033859	Zm00001d011900
Zm00001d033859	Zm00001d028129
Zm00001d033859	Zm00001d021883
Zm00001d033859	Zm00001d048143
Zm00001d033859	Zm00001d035783
Zm00001d033859	Zm00001d028866
Zm00001d033859	Zm00001d033378
Zm00001d033859	Zm00001d044533
Zm00001d033859	Zm00001d028867
Zm00001d033859	Zm00001d043581
Zm00001d033859	Zm00001d049543
Zm00001d033859	Zm00001d019563
Zm00001d033859	Zm00001d004009
Zm00001d033859	Zm00001d044514
Zm00001d033859	Zm00001d003457
Zm00001d033859	Zm00001d021781
Zm00001d033859	Zm00001d019944
Zm00001d033859	Zm00001d002970
Zm00001d033859	Zm00001d008357
Zm00001d033859	Zm00001d023715
Zm00001d033859	Zm00001d033840
Zm00001d033859	Zm00001d011504
Zm00001d033859	Zm00001d048157
Zm00001d033859	Zm00001d027982
Zm00001d033859	Zm00001d005995
Zm00001d033859	Zm00001d042268
Zm00001d033859	Zm00001d025136
Zm00001d033859	Zm00001d043350
Zm00001d033859	Zm00001d044940
Zm00001d033859	Zm00001d026296
Zm00001d033859	Zm00001d014032
Zm00001d033859	Zm00001d030911
Zm00001d033859	Zm00001d039417
Zm00001d033859	Zm00001d018076
Zm00001d033859	Zm00001d018075
Zm00001d033859	Zm00001d035447
Zm00001d033859	Zm00001d044110
Zm00001d033859	Zm00001d050355
Zm00001d033859	Zm00001d006235
Zm00001d033859	Zm00001d047504
Zm00001d033859	Zm00001d002342
Zm00001d033859	Zm00001d008842
Zm00001d033859	Zm00001d043973
Zm00001d033859	Zm00001d005542
Zm00001d033859	Zm00001d025369
Zm00001d033859	Zm00001d024027
Zm00001d033859	Zm00001d009088
Zm00001d033859	Zm00001d037737
Zm00001d033859	Zm00001d022017
Zm00001d033859	Zm00001d018081
Zm00001d033859	Zm00001d043431
Zm00001d033859	Zm00001d051565
Zm00001d033859	Zm00001d021985
Zm00001d033859	Zm00001d017617
Zm00001d033859	Zm00001d027957
Zm00001d033859	Zm00001d005751
Zm00001d033859	Zm00001d042777
Zm00001d033859	Zm00001d013724
Zm00001d033859	Zm00001d025863
Zm00001d033859	Zm00001d015269
Zm00001d033859	Zm00001d048705
