reg.gid	tgt.gid
Zm00001d033859	Zm00001d040002
Zm00001d033859	Zm00001d023456
Zm00001d033859	Zm00001d010588
Zm00001d033859	Zm00001d030345
Zm00001d033859	Zm00001d034628
Zm00001d033859	Zm00001d047042
Zm00001d033859	Zm00001d048229
Zm00001d033859	Zm00001d038270
Zm00001d033859	Zm00001d031061
Zm00001d033859	Zm00001d023376
Zm00001d033859	Zm00001d002128
Zm00001d033859	Zm00001d011904
Zm00001d033859	Zm00001d025944
Zm00001d033859	Zm00001d028129
Zm00001d033859	Zm00001d031534
Zm00001d033859	Zm00001d052386
Zm00001d033859	Zm00001d031806
Zm00001d033859	Zm00001d039065
Zm00001d033859	Zm00001d047087
Zm00001d033859	Zm00001d011208
Zm00001d033859	Zm00001d038087
Zm00001d033859	Zm00001d042609
Zm00001d033859	Zm00001d019563
Zm00001d033859	Zm00001d011972
Zm00001d033859	Zm00001d003457
Zm00001d033859	Zm00001d021781
Zm00001d033859	Zm00001d020621
Zm00001d033859	Zm00001d029899
Zm00001d033859	Zm00001d021689
Zm00001d033859	Zm00001d002970
Zm00001d033859	Zm00001d023372
Zm00001d033859	Zm00001d033744
Zm00001d033859	Zm00001d027965
Zm00001d033859	Zm00001d022460
Zm00001d033859	Zm00001d044211
Zm00001d033859	Zm00001d048944
Zm00001d033859	Zm00001d034204
Zm00001d033859	Zm00001d018037
Zm00001d033859	Zm00001d033840
Zm00001d033859	Zm00001d037092
Zm00001d033859	Zm00001d039006
Zm00001d033859	Zm00001d023384
Zm00001d033859	Zm00001d047661
Zm00001d033859	Zm00001d025136
Zm00001d033859	Zm00001d002132
Zm00001d033859	Zm00001d034319
Zm00001d033859	Zm00001d002000
Zm00001d033859	Zm00001d050355
Zm00001d033859	Zm00001d021268
Zm00001d033859	Zm00001d002133
Zm00001d033859	Zm00001d042506
Zm00001d033859	Zm00001d009709
Zm00001d033859	Zm00001d043973
Zm00001d033859	Zm00001d048053
Zm00001d033859	Zm00001d019565
Zm00001d033859	Zm00001d034129
Zm00001d033859	Zm00001d025369
Zm00001d033859	Zm00001d043525
Zm00001d033859	Zm00001d018211
Zm00001d033859	Zm00001d020595
Zm00001d033859	Zm00001d008620
Zm00001d033859	Zm00001d034757
Zm00001d033859	Zm00001d002762
Zm00001d033859	Zm00001d031470
Zm00001d033859	Zm00001d011013
Zm00001d033859	Zm00001d017840
Zm00001d033859	Zm00001d022569
Zm00001d033859	Zm00001d007319
Zm00001d033859	Zm00001d017643
Zm00001d033859	Zm00001d038907
Zm00001d033859	Zm00001d050389
Zm00001d033859	Zm00001d048705
Zm00001d033859	Zm00001d009619
Zm00001d033859	Zm00001d053684
Zm00001d033859	Zm00001d046778
Zm00001d033859	Zm00001d045098
Zm00001d033859	Zm00001d048020
Zm00001d033859	Zm00001d008906
Zm00001d033859	Zm00001d043444
Zm00001d033859	Zm00001d035713
Zm00001d033859	Zm00001d021181
Zm00001d033859	Zm00001d017612
Zm00001d033859	Zm00001d013258
Zm00001d033859	Zm00001d026652
Zm00001d033859	Zm00001d034091
Zm00001d033859	Zm00001d017274
Zm00001d033859	Zm00001d017885
Zm00001d033859	Zm00001d046223
Zm00001d033859	Zm00001d011610
Zm00001d033859	Zm00001d042634
Zm00001d033859	Zm00001d036917
Zm00001d033859	Zm00001d054044
Zm00001d033859	Zm00001d043589
Zm00001d033859	Zm00001d030526
Zm00001d033859	Zm00001d045481
Zm00001d033859	Zm00001d004248
Zm00001d033859	Zm00001d002274
Zm00001d033859	Zm00001d020932
Zm00001d033859	Zm00001d026046
Zm00001d033859	Zm00001d034047
Zm00001d033859	Zm00001d028759
Zm00001d033859	Zm00001d015342
Zm00001d033859	Zm00001d003193
Zm00001d033859	Zm00001d045042
Zm00001d033859	Zm00001d018609
Zm00001d033859	Zm00001d019957
Zm00001d033859	Zm00001d048082
Zm00001d033859	Zm00001d013493
Zm00001d033859	Zm00001d021934
Zm00001d033859	Zm00001d027403
Zm00001d033859	Zm00001d053202
Zm00001d033859	Zm00001d050021
Zm00001d033859	Zm00001d037271
Zm00001d033859	Zm00001d003349
Zm00001d033859	Zm00001d002896
Zm00001d033859	Zm00001d024531
Zm00001d033859	Zm00001d015451
Zm00001d033859	Zm00001d009060
Zm00001d033859	Zm00001d016691
Zm00001d033859	Zm00001d022474
Zm00001d033859	Zm00001d018006
Zm00001d033859	Zm00001d052494
Zm00001d033859	Zm00001d022315
Zm00001d033859	Zm00001d016277
Zm00001d033859	Zm00001d049510
Zm00001d033859	Zm00001d024767
Zm00001d033859	Zm00001d002794
Zm00001d033859	Zm00001d004744
Zm00001d033859	Zm00001d032081
Zm00001d033859	Zm00001d020492
Zm00001d033859	Zm00001d038355
Zm00001d033859	Zm00001d010159
Zm00001d033859	Zm00001d006028
Zm00001d033859	Zm00001d020275
Zm00001d033859	Zm00001d014814
Zm00001d033859	Zm00001d038523
Zm00001d033859	Zm00001d035662
Zm00001d033859	Zm00001d012581
Zm00001d033859	Zm00001d021173
Zm00001d033859	Zm00001d050178
Zm00001d033859	Zm00001d021285
Zm00001d033859	Zm00001d031657
Zm00001d033859	Zm00001d022075
Zm00001d033859	Zm00001d041791
Zm00001d033859	Zm00001d020683
Zm00001d033859	Zm00001d048301
Zm00001d033859	Zm00001d009243
Zm00001d033859	Zm00001d033680
Zm00001d033859	Zm00001d032810
Zm00001d033859	Zm00001d007840
Zm00001d033859	Zm00001d045391
Zm00001d033859	Zm00001d005798
Zm00001d033859	Zm00001d002451
Zm00001d033859	Zm00001d051342
Zm00001d033859	Zm00001d005241
Zm00001d033859	Zm00001d013410
Zm00001d033859	Zm00001d022636
Zm00001d033859	Zm00001d026535
Zm00001d033859	Zm00001d034635
Zm00001d033859	Zm00001d037289
Zm00001d033859	Zm00001d033799
Zm00001d033859	Zm00001d033605
Zm00001d033859	Zm00001d031620
Zm00001d033859	Zm00001d027434
Zm00001d033859	Zm00001d047554
Zm00001d033859	Zm00001d043601
Zm00001d033859	Zm00001d028572
Zm00001d033859	Zm00001d039914
Zm00001d033859	Zm00001d010632
Zm00001d033859	Zm00001d027756
Zm00001d033859	Zm00001d030656
Zm00001d033859	Zm00001d002065
Zm00001d033859	Zm00001d032217
Zm00001d033859	Zm00001d043368
Zm00001d033859	Zm00001d041418
Zm00001d033859	Zm00001d033020
Zm00001d033859	Zm00001d053756
Zm00001d033859	Zm00001d038165
Zm00001d033859	Zm00001d024885
Zm00001d033859	Zm00001d019317
Zm00001d033859	Zm00001d024530
Zm00001d033859	Zm00001d033876
Zm00001d033859	Zm00001d031992
Zm00001d033859	Zm00001d033890
Zm00001d033859	Zm00001d023859
Zm00001d033859	Zm00001d002835
Zm00001d033859	Zm00001d020941
Zm00001d033859	Zm00001d028775
Zm00001d033859	Zm00001d039535
Zm00001d033859	Zm00001d036925
Zm00001d033859	Zm00001d034602
Zm00001d033859	Zm00001d008882
Zm00001d033859	Zm00001d038476
Zm00001d033859	Zm00001d044433
Zm00001d033859	Zm00001d006212
Zm00001d033859	Zm00001d033995
Zm00001d033859	Zm00001d049295
Zm00001d033859	Zm00001d009668
Zm00001d033859	Zm00001d032771
Zm00001d033859	Zm00001d033256
Zm00001d033859	Zm00001d020345
Zm00001d033859	Zm00001d033925
Zm00001d033859	Zm00001d017784
Zm00001d033859	Zm00001d006022
Zm00001d033859	Zm00001d032194
Zm00001d033859	Zm00001d042926
Zm00001d033859	Zm00001d037684
Zm00001d033859	Zm00001d003468
Zm00001d033859	Zm00001d035440
Zm00001d033859	Zm00001d000294
Zm00001d033859	Zm00001d007842
Zm00001d033859	Zm00001d014517
Zm00001d033859	Zm00001d030617
Zm00001d033859	Zm00001d017391
Zm00001d033859	Zm00001d015213
Zm00001d033859	Zm00001d043998
Zm00001d033859	Zm00001d006738
Zm00001d033859	Zm00001d045519
