reg.gid	tgt.gid
Zm00001d018971	Zm00001d048817
Zm00001d018971	Zm00001d048813
Zm00001d018971	Zm00001d019153
Zm00001d018971	Zm00001d035760
Zm00001d018971	Zm00001d020592
Zm00001d018971	Zm00001d020591
Zm00001d018971	Zm00001d039065
Zm00001d018971	Zm00001d038288
Zm00001d018971	Zm00001d022099
Zm00001d018971	Zm00001d038163
Zm00001d018971	Zm00001d010321
Zm00001d018971	Zm00001d047124
Zm00001d018971	Zm00001d029853
Zm00001d018971	Zm00001d033931
Zm00001d018971	Zm00001d006753
Zm00001d018971	Zm00001d009797
Zm00001d018971	Zm00001d037637
Zm00001d018971	Zm00001d028201
Zm00001d018971	Zm00001d027411
Zm00001d018971	Zm00001d050985
Zm00001d018971	Zm00001d050021
Zm00001d018971	Zm00001d018795
Zm00001d018971	Zm00001d053378
Zm00001d018971	Zm00001d054074
Zm00001d018971	Zm00001d002326
Zm00001d018971	Zm00001d044291
