reg.gid	tgt.gid
Zm00001d021191	Zm00001d020592
Zm00001d021191	Zm00001d031168
Zm00001d021191	Zm00001d021306
Zm00001d021191	Zm00001d020963
Zm00001d021191	Zm00001d032220
Zm00001d021191	Zm00001d027330
Zm00001d021191	Zm00001d004407
Zm00001d021191	Zm00001d025752
Zm00001d021191	Zm00001d022041
Zm00001d021191	Zm00001d033850
Zm00001d021191	Zm00001d019477
Zm00001d021191	Zm00001d028287
Zm00001d021191	Zm00001d021629
Zm00001d021191	Zm00001d032223
Zm00001d021191	Zm00001d044655
Zm00001d021191	Zm00001d029893
Zm00001d021191	Zm00001d018894
Zm00001d021191	Zm00001d035552
Zm00001d021191	Zm00001d027803
Zm00001d021191	Zm00001d042504
Zm00001d021191	Zm00001d029476
Zm00001d021191	Zm00001d003203
Zm00001d021191	Zm00001d019093
Zm00001d021191	Zm00001d021642
Zm00001d021191	Zm00001d046336
Zm00001d021191	Zm00001d028714
