chromosome coordinate	FPKM
2:231282767-231284403	0.366709
2:231209190-231213723	0.0177008
7:11663430-11671232	27.1746
9:152485542-152488367	11.2056
9:152490485-152495067	32.1746
9:152524930-152535598	4.91768
9:152556213-152556891	1.58728
9:151585658-151593495	0
9:151631158-151633751	0.0922916
9:152414896-152420583	4.47988
9:152436843-152437324	50.2084
9:152441239-152442457	0.968746
9:152442985-152445781	7.22283
9:152453632-152454922	1.14577
9:152459199-152482385	3.5701
9:150418898-150423446	22.2449
9:151116516-151116771	297.169
9:151118219-151121978	7.78034
9:151149415-151150795	46.3024
9:155180834-155184676	2.12058
10:3280567-3284464	0.271345
10:3297019-3304271	0.175034
10:3369198-3373083	0.370089
10:3374429-3375797	0.395962
10:3382756-3385323	0.81367
10:3431567-3436989	0
10:3438489-3441711	0.660202
2:34720872-34723703	0.0283659
8:164135177-164135809	0.743104
8:164135911-164138270	1.61534
8:164170252-164178076	9.86262
3:220883060-220902116	20.2526
3:220979651-220985348	4.84922
1:32667227-32669225	0.544298
7:173889074-173890521	0
7:173883890-173886294	1.79074
7:173827303-173838463	22.6093
7:173817874-173820052	1.60399
7:173806882-173808319	8.79715
5:4777028-4786789	12.2647
3:175686324-175689182	1.76734
3:175701335-175701539	317.799
3:4444099-4445293	44.8119
3:4447438-4448841	34.1442
1:8264823-8269232	4.63948
1:8290351-8293428	25.6238
5:4582791-4584392	1.24554
3:144743919-144745323	0.594648
2:181423610-181424988	5.2171
1:19972337-19973182	12.7943
1:19980657-19983477	7.37021
1:19984787-19991144	0.344844
2:86767114-86790673	0.932448
1:203562028-203562452	0
1:22626832-22627237	0.217639
1:136306-138929	0.718113
1:150549-150900	4.25274
1:161142-162510	1.30226
1:172312-174207	0.0238571
1:18142213-18144233	0.124867
1:18191143-18200221	2.95017
1:14036257-14036500	0.707315
2:2126128-2128223	0.29436
2:144662391-144664586	0.0862983
10:80586973-80615980	0.239827
1:233405519-233405876	0.988114
1:26748888-26749323	0.663141
2:211005160-211005784	0.0778118
2:210998896-210999592	0.164195
1:260136127-260138505	4.3455
1:260052555-260054526	0.386008
1:260043561-260045044	20.4724
1:300444329-300446450	0.27719
2:122585610-122610591	0.445891
2:31199289-31200088	1.7915
1:115616722-115617507	1.61994
1:115760848-115763178	0.601356
1:72799952-72805415	6.81937
2:70740294-70740630	0.445209
2:89269884-89273160	0.152118
1:285647285-285648424	12.6313
1:49199281-49202143	0.860781
1:35960129-35962613	0
1:19104048-19104908	1.40326
1:33355136-33355748	0.0808864
4:11212405-11214817	0.0643652
4:159606604-159606895	1.53431
5:134190794-134206562	0.305191
5:134238203-134240308	0.503517
3:23009310-23012760	0.617194
