chromosome coordinate	FPKM
2:231282767-231284403	0.94483
2:231209190-231213723	0.0521369
7:11663430-11671232	25.4733
9:152485542-152488367	15.4129
9:152490485-152495067	35.3183
9:152524930-152535598	4.35724
9:152556213-152556891	1.88557
9:151585658-151593495	0.029926
9:151631158-151633751	0.080244
9:152414896-152420583	4.21945
9:152436843-152437324	88.4128
9:152441239-152442457	1.42107
9:152442985-152445781	10.864
9:152453632-152454922	1.2451
9:152459199-152482385	3.27089
9:150418898-150423446	22.42
9:151116516-151116771	390.357
9:151118219-151121978	7.88001
9:151149415-151150795	55.9858
9:155180834-155184676	1.9204
10:3280567-3284464	0.167599
10:3297019-3304271	0.286588
10:3369198-3373083	0.35232
10:3374429-3375797	0.702668
10:3382756-3385323	1.12903
10:3431567-3436989	0.0356484
10:3438489-3441711	0.930293
2:34720872-34723703	0
8:164135177-164135809	0.265614
8:164135911-164138270	1.20656
8:164170252-164178076	12.2281
3:220883060-220902116	21.2218
3:220979651-220985348	5.03279
1:32667227-32669225	0.376004
7:173889074-173890521	0.132175
7:173883890-173886294	1.85057
7:173827303-173838463	22.4319
7:173817874-173820052	3.04686
7:173806882-173808319	7.79182
5:4777028-4786789	10.3984
3:175686324-175689182	1.79354
3:175701335-175701539	325.754
3:4444099-4445293	42.026
3:4447438-4448841	33.1046
1:8264823-8269232	4.92982
1:8290351-8293428	22.8802
5:4582791-4584392	0.827514
3:144743919-144745323	0.367401
2:181423610-181424988	6.85272
1:19972337-19973182	37.6101
1:19980657-19983477	13.2821
1:19984787-19991144	0.245343
2:86767114-86790673	0
1:203562028-203562452	0.391604
1:22626832-22627237	0
1:136306-138929	2.71486
1:150549-150900	2.30748
1:161142-162510	1.9768
1:172312-174207	0
1:18142213-18144233	0.351123
1:18191143-18200221	3.55484
1:14036257-14036500	0
2:2126128-2128223	0.3225
2:144662391-144664586	0.0462754
10:80586973-80615980	0.500015
1:233405519-233405876	1.06416
1:26748888-26749323	0.88549
2:211005160-211005784	0
2:210998896-210999592	0
1:260136127-260138505	6.1181
1:260052555-260054526	0.289766
1:260043561-260045044	22.0734
1:300444329-300446450	0.569005
2:122585610-122610591	0.385204
2:31199289-31200088	1.80459
1:115616722-115617507	2.5655
1:115760848-115763178	0
1:72799952-72805415	6.76266
2:70740294-70740630	0
2:89269884-89273160	0.091914
1:285647285-285648424	16.3503
1:49199281-49202143	0.748651
1:35960129-35962613	0.0411446
1:19104048-19104908	0.722125
1:33355136-33355748	0
4:11212405-11214817	0
4:159606604-159606895	0
5:134190794-134206562	0.477
5:134238203-134240308	0.182313
3:23009310-23012760	0.605795
3:133083781-133084909	0.535904
3:22242301-22243636	0.369537
3:127303984-127310112	10.7393
3:82719674-82722155	1.12083
3:227935563-227937933	0.162358
3:190509586-190512617	1.34715
2:27834569-27861240	0
3:28221286-28223015	0.621068
3:141261687-141325830	1.37616
