regulator	target	subtype
GRMZM2G017087 	GRMZM2G017087	homeobox_tf
GRMZM2G017087 	GRMZM2G000743	homeobox_tf
GRMZM2G017087 	GRMZM2G028041	homeobox_tf
GRMZM2G017087 	GRMZM2G087741	homeobox_tf
GRMZM2G017087 	GRMZM2G094241	homeobox_tf
GRMZM2G017087 	GRMZM2G135447	homeobox_tf
GRMZM2G017087 	GRMZM2G452178	homeobox_tf
GRMZM2G017087 	GRMZM5G832409	homeobox_tf
GRMZM2G017087 	GRMZM2G159431	homeobox_tf
GRMZM2G017087 	GRMZM2G433591	homeobox_tf
GRMZM2G017087 	GRMZM2G011588	homeobox_tf
GRMZM2G017087	GRMZM2G076272	homeobox_tf
GRMZM2G017087	GRMZM2G099319	homeobox_tf
GRMZM2G017087	GRMZM2G125976	homeobox_tf
GRMZM2G017087	GRMZM2G154641	homeobox_tf
GRMZM2G017087	GRMZM2G023291	homeobox_tf
GRMZM2G017087	GRMZM2G042250	homeobox_tf
GRMZM2G017087	GRMZM2G109987	homeobox_tf
GRMZM2G017087	GRMZM2G469551	homeobox_tf
GRMZM2G017087	GRMZM2G028622	homeobox_tf
GRMZM2G017087	GRMZM2G031882	homeobox_tf
GRMZM2G017087	GRMZM2G133972	homeobox_tf
GRMZM2G017087	GRMZM2G162481	homeobox_tf
GRMZM2G017087	GRMZM2G409881	homeobox_tf
GRMZM2G017087	GRMZM2G005624	homeobox_tf
GRMZM2G017087	GRMZM2G041127	homeobox_tf
GRMZM2G017087	GRMZM2G041462	homeobox_tf
GRMZM2G017087	GRMZM2G056600	homeobox_tf
GRMZM2G017087	GRMZM2G104204	homeobox_tf
GRMZM2G017087	GRMZM2G105834	homeobox_tf
GRMZM2G017087	GRMZM2G116658	homeobox_tf
GRMZM2G017087	GRMZM2G117164	homeobox_tf
GRMZM2G017087	GRMZM2G123140	homeobox_tf
GRMZM2G017087	GRMZM2G127537	homeobox_tf
GRMZM2G017087	GRMZM2G139963	homeobox_tf
GRMZM2G017087	GRMZM2G148074	homeobox_tf
GRMZM2G017087	GRMZM2G166041	homeobox_tf
GRMZM2G017087	GRMZM2G178741	homeobox_tf
GRMZM2G017087	GRMZM2G351330	homeobox_tf
GRMZM2G017087	GRMZM2G423337	homeobox_tf
GRMZM2G017087	GRMZM5G803812	homeobox_tf
GRMZM2G017087	GRMZM2G078275	ear_tassel
GRMZM2G017087	GRMZM2G003509	ear_tassel
GRMZM2G017087	GRMZM2G005353	ear_tassel
GRMZM2G017087	GRMZM2G529859	ear_tassel
GRMZM2G017087	GRMZM2G135783	ear_tassel
GRMZM2G017087	GRMZM2G179677	ear_tassel
GRMZM2G017087	GRMZM2G021339	ear_tassel
GRMZM2G017087	GRMZM2G452178	ear_tassel
GRMZM2G017087	GRMZM2G159397	ear_tassel
GRMZM2G017087	GRMZM2G099522	ear_tassel
GRMZM2G017087	GRMZM2G102161	ear_tassel
GRMZM2G017087	GRMZM2G124715	ear_tassel
GRMZM2G017087	GRMZM2G126018	ear_tassel
GRMZM2G017087	GRMZM2G111136	ear_tassel
GRMZM2G017087	GRMZM2G168229	ear_tassel
GRMZM2G017087	GRMZM2G166946	ear_tassel
GRMZM2G017087	GRMZM5G862109	ear_tassel
GRMZM2G017087	GRMZM2G123387	ear_tassel
GRMZM2G017087	GRMZM2G086474	ear_tassel
GRMZM2G017087	GRMZM2G079080	ear_tassel
GRMZM2G017087	GRMZM2G351582	ear_tassel
GRMZM2G017087	GRMZM2G014914	ear_tassel
GRMZM2G017087	AC182482.3_FG003	ear_tassel
GRMZM2G017087	GRMZM2G156255	ear_tassel
GRMZM2G017087	GRMZM2G019974	ear_tassel
GRMZM2G017087	GRMZM2G414813	ear_tassel
GRMZM2G017087	GRMZM2G113332	ear_tassel
GRMZM2G017087	GRMZM2G347056	ear_tassel
GRMZM2G017087	GRMZM2G138008	ear_tassel
GRMZM2G017087	GRMZM2G167986	ear_tassel
GRMZM2G017087	GRMZM2G032496	ear_tassel
GRMZM2G017087	GRMZM2G040263	ear_tassel
GRMZM2G017087	GRMZM2G157727	ear_tassel
GRMZM2G017087	GRMZM2G065394	ear_tassel
GRMZM2G017087	GRMZM2G070500	ear_tassel
GRMZM2G017087	GRMZM2G046458	ear_tassel
GRMZM2G017087	GRMZM2G377131	ear_tassel
GRMZM2G017087	GRMZM2G149556	ear_tassel
GRMZM2G017087	GRMZM2G161154	ear_tassel
GRMZM2G017087	GRMZM2G150710	ear_tassel
GRMZM2G017087	GRMZM2G110145	ear_tassel
GRMZM2G017087	GRMZM5G872068	ear_tassel
GRMZM2G017087	GRMZM2G054013	ear_tassel
GRMZM2G017087	GRMZM2G049681	ear_tassel
GRMZM2G017087	GRMZM2G032547	ear_tassel
GRMZM2G017087	AC225147.4_FG002	ear_tassel
GRMZM2G017087	GRMZM2G025429	hormone
GRMZM2G017087	GRMZM2G436770	hormone
GRMZM2G017087	GRMZM2G021406	hormone
GRMZM2G017087	GRMZM2G008792	hormone
GRMZM2G017087	GRMZM2G024476	hormone
GRMZM2G017087	GRMZM2G348452	hormone
GRMZM2G017087	GRMZM2G423456	hormone
GRMZM2G017087	GRMZM2G155767	hormone
GRMZM2G017087	GRMZM2G012384	hormone
GRMZM2G017087	GRMZM2G040736	hormone
GRMZM2G017087	GRMZM2G129954	hormone
GRMZM2G017087	GRMZM2G156019	hormone
GRMZM2G017087	GRMZM2G319187	hormone
GRMZM2G017087	GRMZM2G126834	hormone
GRMZM2G017087	GRMZM2G479110	hormone
GRMZM2G017087	GRMZM2G142179	hormone
GRMZM2G017087	GRMZM2G044077	hormone
GRMZM2G017087	GRMZM2G127308	hormone
GRMZM2G017087	GRMZM2G016958	hormone
GRMZM2G017087	GRMZM2G090779	hormone
GRMZM2G017087	GRMZM5G833406	hormone
GRMZM2G017087	GRMZM2G053338	hormone
GRMZM2G017087	GRMZM2G061662	hormone
GRMZM2G017087	GRMZM2G002765	hormone
GRMZM2G017087	GRMZM2G021786	hormone
GRMZM2G017087	GRMZM2G083935	hormone
GRMZM2G017087	GRMZM2G173315	hormone
GRMZM2G017087	GRMZM2G304712	hormone
GRMZM2G017087	GRMZM2G344993	hormone
GRMZM2G017087	GRMZM2G457929	hormone
GRMZM2G017087	GRMZM5G832805	hormone
GRMZM2G017087	GRMZM2G074267	hormone
GRMZM2G017087	GRMZM2G098643	hormone
GRMZM2G017087	GRMZM2G149184	hormone
GRMZM2G017087	GRMZM2G171702	hormone
GRMZM2G017087	GRMZM2G072850	hormone
GRMZM2G017087	GRMZM2G085236	hormone
GRMZM2G017087	GRMZM2G125424	hormone
GRMZM2G017087	GRMZM2G315375	hormone
GRMZM2G017087	GRMZM2G127949	hormone
GRMZM2G017087	GRMZM2G045057	hormone
GRMZM2G017087	GRMZM2G129413	hormone
GRMZM2G017087	GRMZM2G095786	hormone
GRMZM2G017087	GRMZM2G427529	hormone
GRMZM2G017087	GRMZM5G848945	hormone
GRMZM2G017087	AC207656.3_FG002	hormone
GRMZM2G017087	GRMZM2G030710	hormone
GRMZM2G017087	GRMZM2G034840	hormone
GRMZM2G017087	GRMZM2G035405	hormone
GRMZM2G017087	GRMZM2G056120	hormone
GRMZM2G017087	GRMZM2G078274	hormone
GRMZM2G017087	GRMZM2G081158	hormone
GRMZM2G017087	GRMZM2G081406	hormone
GRMZM2G017087	GRMZM2G086949	hormone
GRMZM2G017087	GRMZM2G089640	hormone
GRMZM2G017087	GRMZM2G116557	hormone
GRMZM2G017087	GRMZM2G153233	hormone
GRMZM2G017087	GRMZM2G317900	hormone
GRMZM2G017087	GRMZM2G378580	hormone
GRMZM2G017087	GRMZM2G390641	hormone
GRMZM2G017087	GRMZM2G437460	hormone
GRMZM2G017087	GRMZM2G441325	hormone
GRMZM2G017087	GRMZM2G475263	hormone
GRMZM2G017087	GRMZM2G475882	hormone
GRMZM2G017087	GRMZM5G874163	hormone
GRMZM2G017087	GRMZM2G573324	hormone
GRMZM2G017087	GRMZM2G074427	hormone
GRMZM2G017087	GRMZM2G121309	hormone
GRMZM2G017087	GRMZM2G004696	hormone
GRMZM2G017087	GRMZM2G030465	hormone
GRMZM2G017087	GRMZM2G077356	hormone
GRMZM2G017087	GRMZM2G079957	hormone
GRMZM2G017087	GRMZM2G104176	hormone
GRMZM2G017087	GRMZM2G130953	hormone
GRMZM2G017087	GRMZM2G138268	hormone
GRMZM2G017087	GRMZM2G143352	hormone
GRMZM2G017087	GRMZM2G152796	hormone
GRMZM2G017087	GRMZM2G159285	hormone
GRMZM2G017087	GRMZM2G167794	hormone
GRMZM2G017087	GRMZM5G809195	hormone
GRMZM2G017087	GRMZM5G864847	hormone
GRMZM2G017087	GRMZM2G031615	hormone
GRMZM2G017087	GRMZM2G042992	hormone
GRMZM2G017087	GRMZM2G033359	hormone
GRMZM2G017087	GRMZM2G050080	hormone
GRMZM2G017087	GRMZM2G057037	hormone
GRMZM2G017087	GRMZM2G061515	hormone
GRMZM2G017087	GRMZM2G065244	hormone
GRMZM2G017087	GRMZM2G074742	hormone
GRMZM2G017087	GRMZM2G083980	hormone
GRMZM2G017087	GRMZM2G104511	hormone
GRMZM2G017087	GRMZM2G105419	hormone
GRMZM2G017087	GRMZM2G131699	hormone
GRMZM2G017087	GRMZM2G133023	hormone
GRMZM2G017087	GRMZM2G134156	hormone
GRMZM2G017087	GRMZM2G142664	hormone
GRMZM2G017087	GRMZM2G144421	hormone
GRMZM2G017087	GRMZM2G151656	hormone
GRMZM2G017087	GRMZM2G176903	hormone
GRMZM2G017087	GRMZM2G332390	hormone
GRMZM2G017087	GRMZM2G354209	hormone
GRMZM2G017087	GRMZM2G365162	hormone
GRMZM2G017087	GRMZM2G365166	hormone
GRMZM2G017087	GRMZM2G378106	hormone
GRMZM2G017087	GRMZM2G386209	hormone
GRMZM2G017087	GRMZM2G399644	hormone
GRMZM2G017087	GRMZM2G400156	hormone
GRMZM2G017087	GRMZM2G408703	hormone
GRMZM2G017087	GRMZM2G414727	hormone
GRMZM2G017087	GRMZM2G420812	hormone
GRMZM2G017087	GRMZM2G425072	hormone
GRMZM2G017087	GRMZM2G429254	hormone
GRMZM2G017087	GRMZM2G442000	hormone
GRMZM2G017087	GRMZM2G462760	hormone
GRMZM2G017087	GRMZM5G825707	hormone
GRMZM2G017087	GRMZM5G835903	hormone
GRMZM2G017087	GRMZM5G857641	hormone
GRMZM2G017087	GRMZM2G063298	hormone
GRMZM2G017087	GRMZM2G097989	hormone
GRMZM2G017087	GRMZM2G125557	hormone
GRMZM2G017087	AC213463.3_FG009	hormone
GRMZM2G017087	GRMZM2G146192	hormone
GRMZM2G017087	GRMZM2G452996	hormone
GRMZM2G017087	GRMZM5G856837	hormone
GRMZM2G017087	GRMZM2G093195	hormone
GRMZM2G017087	GRMZM2G068808	hormone
GRMZM2G017087	GRMZM2G081554	hormone
GRMZM2G017087	GRMZM2G049418	hormone
GRMZM2G017087	GRMZM2G031432	hormone
GRMZM2G017087	GRMZM2G051619	hormone
GRMZM2G017087	GRMZM2G078798	hormone
GRMZM2G017087	GRMZM2G152354	hormone
GRMZM2G017087	GRMZM2G153359	hormone
GRMZM2G017087	GRMZM2G176963	hormone
GRMZM2G017087	GRMZM2G177104	hormone
GRMZM2G017087	GRMZM2G427618	hormone
GRMZM2G017087	GRMZM2G173630	hormone
GRMZM2G017087	GRMZM2G144744	hormone
GRMZM2G017087	GRMZM2G024973	hormone
GRMZM2G017087	GRMZM2G357804	hormone
GRMZM2G017087	GRMZM2G068202	hormone
GRMZM2G017087	GRMZM2G107003	hormone
GRMZM2G017087	GRMZM2G164090	hormone
GRMZM2G017087	GRMZM2G172596	hormone
GRMZM2G017087	AC210013.4_FG003	hormone
GRMZM2G017087	GRMZM5G836683	hormone
GRMZM2G017087	GRMZM2G075701	hormone
GRMZM2G017087	GRMZM2G126682	hormone
GRMZM2G017087	GRMZM5G850019	hormone
GRMZM2G017087	GRMZM2G057000	hormone
GRMZM2G017087	GRMZM2G105787	hormone
GRMZM2G017087	GRMZM2G103773	hormone
GRMZM2G017087	GRMZM2G162737	hormone
GRMZM2G017087	GRMZM2G143235	hormone
GRMZM2G017087	GRMZM2G032896	hormone
GRMZM2G017087	GRMZM5G878017	hormone
GRMZM2G017087	GRMZM2G065635	hormone
GRMZM2G017087	GRMZM2G138750	hormone
GRMZM2G017087	GRMZM2G048294	hormone
GRMZM2G017087	GRMZM2G114276	hormone
GRMZM2G017087	GRMZM2G121565	hormone
GRMZM2G017087	GRMZM2G356076	hormone
GRMZM2G017087	GRMZM2G102514	hormone
GRMZM2G017087	GRMZM5G852801	hormone
GRMZM2G017087	GRMZM5G879749	hormone
GRMZM2G017087	GRMZM2G043350	hormone
GRMZM2G017087	GRMZM2G071277	hormone
GRMZM2G017087	GRMZM2G129585	hormone
GRMZM2G017087	GRMZM2G397684	hormone
GRMZM2G017087	AC149829.2_FG004	hormone
GRMZM2G017087	GRMZM2G102059	hormone
GRMZM2G017087	GRMZM2G075996	hormone
GRMZM2G017087	GRMZM2G420407	hormone
GRMZM2G017087	GRMZM2G018006	hormone
GRMZM2G017087	GRMZM2G007249	hormone
GRMZM2G017087	GRMZM2G013448	hormone
GRMZM2G017087	GRMZM2G052422	hormone
GRMZM2G017087	GRMZM2G075368	hormone
GRMZM2G017087	GRMZM2G102601	hormone
GRMZM2G017087	GRMZM2G111415	hormone
