regulator	target
GRMZM2G015534	GRMZM2G160739
GRMZM2G015534	GRMZM2G044152
GRMZM2G015534	AF546188.1_FG003
GRMZM2G015534	GRMZM2G086294
GRMZM2G015534	GRMZM2G138727
GRMZM2G015534	GRMZM2G138689
GRMZM2G015534	GRMZM2G011932
GRMZM2G015534	GRMZM2G091201
GRMZM2G015534	GRMZM2G384528
GRMZM2G015534	GRMZM2G306345
GRMZM2G015534	GRMZM2G097457
GRMZM2G015534	GRMZM2G117956
GRMZM2G015534	GRMZM2G053720
GRMZM2G015534	GRMZM2G442658
GRMZM2G015534	GRMZM2G378106
GRMZM2G015534	GRMZM2G312877
GRMZM2G015534	GRMZM2G028110
GRMZM2G015534	GRMZM2G130987
GRMZM2G015534	GRMZM2G341934
GRMZM2G015534	GRMZM2G152616
GRMZM2G015534	GRMZM2G105954
GRMZM2G015534	GRMZM5G847052
GRMZM2G015534	GRMZM2G438538
GRMZM2G015534	GRMZM5G896196
GRMZM2G015534	GRMZM5G811968
GRMZM2G015534	GRMZM5G895499
GRMZM2G015534	GRMZM5G894976
GRMZM2G015534	GRMZM2G012031
GRMZM2G015534	GRMZM2G054233
GRMZM2G015534	GRMZM2G163304
GRMZM2G015534	GRMZM5G817886
GRMZM2G015534	GRMZM2G371606
GRMZM2G015534	GRMZM2G371612
GRMZM2G015534	GRMZM2G446225
