maize.gene.id	clustera	DEb
GRMZM2G125557	1	✓
GRMZM2G300348	1	
GRMZM2G178972	1	
GRMZM2G016323	1	
GRMZM2G014729	1	
GRMZM2G083022	1	
GRMZM2G004988	1	
GRMZM5G829663	1	
GRMZM2G177510	1	
GRMZM2G420823	1	
AC204891.4_FG001	1	
GRMZM2G352898	1	
GRMZM2G386088	1	
GRMZM2G051753	1	
GRMZM2G032484	1	
GRMZM2G017709	1	
GRMZM2G417843	1	
GRMZM2G143480	1	
GRMZM2G128663	1	
GRMZM2G020728	1	
GRMZM2G395736	2	✓
GRMZM5G889321	2	✓
GRMZM2G059937	2	✓
GRMZM2G053939	2	✓
GRMZM2G017654	2	✓
GRMZM5G893913	2	✓
GRMZM2G377539	2	✓
GRMZM2G070633	2	✓
GRMZM2G357804	2	✓
GRMZM2G317835	2	✓
GRMZM2G061876	2	✓
GRMZM2G030710	2	
GRMZM2G049173	2	
GRMZM2G474777	2	
GRMZM2G328612	2	
AC207533.2_FG002	2	
GRMZM2G133249	2	
GRMZM2G031656	2	
GRMZM2G144701	2	
GRMZM2G158575	2	
GRMZM2G074496	2	
GRMZM2G085718	2	
GRMZM2G066485	2	
GRMZM2G105245	2	
GRMZM2G056996	2	
GRMZM2G174785	2	
GRMZM2G431157	2	
GRMZM5G834734	2	
GRMZM2G076987	2	
GRMZM2G437675	2	
AC150739.3_FG001	2	
AC203761.3_FG002	2	
GRMZM2G140156	2	
GRMZM2G007229	2	
GRMZM2G061023	2	
GRMZM2G110153	2	
GRMZM2G149905	3	✓
GRMZM2G163494	3	✓
GRMZM2G097856	3	
GRMZM2G047143	3	
GRMZM2G408768	3	
GRMZM2G130868	3	
GRMZM2G070163	3	
GRMZM2G140223	3	
AC205500.3_FG002	3	
GRMZM2G087128	3	
GRMZM2G098298	3	
GRMZM2G159759	3	
GRMZM2G138252	3	
GRMZM2G153536	3	
GRMZM2G131221	3	
GRMZM2G368908	3	
GRMZM2G131907	3	
