gid	gid_v3	B_Anther	B_Ear	B_Embryo	B_Endosperm	B_Internode	B_Leaf	B_Leaf10	B_Root	B_Shoot	B_Tassel	W_Anther	W_Ear	W_Embryo	W_Endosperm	W_Internode	W_Leaf	W_Leaf10	W_Root	W_Shoot	W_Tassel
Zm00001d001960	GRMZM2G062396	375.4	0.3	7.8	0.1	0.1	22.0	15.4	0.0	64.7	1.6	18.0	0.1	0.0	0.1	2.3	12.5	4.9	0.1	11.8	1.0
Zm00001d002346	GRMZM2G046070	3.0	57.9	316.0	0.3	0.7	0.1	7.1	0.1	24.2	31.4	1.9	24.2	354.8	0.5	0.2	0.1	9.0	0.1	32.7	56.5
Zm00001d003015	GRMZM2G118345	47.4	2.8	0.5	0.2	3.7	10.4	4.3	8.5	6.3	12.1	21.9	1.3	0.7	0.4	8.5	11.3	49.2	47.0	12.0	17.4
Zm00001d003016	GRMZM2G441347	39.8	94.2	14.7	0.1	70.2	1.7	115.5	177.0	54.3	139.2	22.1	38.8	9.9	0.5	43.9	0.3	283.0	271.5	67.1	235.8
Zm00001d003102	GRMZM2G082249	2.4	4.3	1.6	0.5	4.7	2.1	1.3	21.1	1.2	2.8	2.0	2.7	1.6	0.4	2.4	0.8	2.3	14.7	0.8	3.1
Zm00001d003129	GRMZM2G158083	24.8	16.3	15.6	11.3	130.1	32.8	38.2	28.1	25.6	21.3	27.9	15.5	14.3	3.6	45.6	23.9	40.8	28.6	30.4	26.3
Zm00001d004689	GRMZM2G085924	16.4	3.6	0.3	0.3	2.7	0.4	11.5	2736.6	334.0	7.6	23.0	45.5	0.3	1.4	101.8	0.6	278.0	1351.7	559.1	546.8
Zm00001d004921	GRMZM2G127418	16.7	0.0	0.0	0.0	2.1	0.2	0.1	22.2	11.7	0.3	10.6	0.0	0.0	1.5	0.0	1.3	0.1	11.9	20.6	0.0
Zm00001d005998	GRMZM2G004138	54.1	33.7	76.7	39.6	62.5	46.6	27.0	58.2	17.4	31.3	21.3	16.3	41.7	20.0	25.7	23.4	14.2	24.2	8.1	15.6
Zm00001d006446	GRMZM2G180283	5.2	1.5	0.4	0.0	0.3	3.7	4.2	0.4	43.3	5.6	11.0	0.2	0.5	0.0	0.2	0.8	10.8	0.4	65.6	169.9
Zm00001d006684	GRMZM2G022266	2.9	2.4	3.1	0.8	0.8	8.4	19.5	12.7	24.6	7.7	1.8	0.9	1.2	4.9	1.0	2.1	18.8	9.2	27.7	5.5
Zm00001d007403	GRMZM2G151227	7.3	0.1	1.7	0.0	1.1	15.9	157.7	0.4	3.1	54.6	35.9	0.1	0.0	0.0	0.2	0.9	148.2	5.4	7.2	75.4
Zm00001d007718	AC148152.3_FG005	24.0	2.7	0.4	0.0	0.1	0.1	10.0	265.3	39.6	0.0	42.7	3.4	0.4	0.0	0.0	0.2	11.5	281.7	96.0	0.6
Zm00001d009858	GRMZM2G139874	172.7	32.3	116.7	1.3	266.5	86.3	153.2	273.7	103.0	88.0	124.6	19.8	40.3	0.8	96.3	41.1	200.5	203.7	110.8	196.4
Zm00001d009908	GRMZM2G007404	372.2	38.5	85.5	2.1	233.7	91.3	136.7	162.3	64.7	133.4	143.3	20.3	77.1	1.6	66.7	20.1	259.0	176.4	60.3	211.4
Zm00001d010521	GRMZM2G160763	24.6	0.6	0.1	0.0	36.5	1.3	437.5	50.1	13.2	137.2	7.1	0.2	0.1	0.0	19.7	0.3	430.3	41.2	14.5	63.5
Zm00001d011438	GRMZM2G013726	0.8	0.1	0.0	0.0	9.9	1.1	0.7	26.7	0.2	1.8	0.3	0.1	0.0	0.0	0.2	0.1	0.1	19.0	0.1	1.1
Zm00001d012144	GRMZM5G805585	57.5	40.5	17.0	3.8	5.0	8.0	9.1	6.8	17.4	102.7	53.7	61.9	15.0	5.2	3.4	10.7	6.8	8.5	17.1	12.4
Zm00001d012274	GRMZM2G034360	15.6	0.2	6.0	0.1	5.7	0.8	9.9	66.5	58.9	1.3	8.7	0.0	1.6	0.0	0.2	0.5	121.3	68.5	70.0	80.4
Zm00001d012510	GRMZM2G010468	15.6	0.3	4.0	0.1	1.1	16.5	3.5	10.3	1.9	1.4	18.1	0.3	4.0	0.4	0.3	6.3	11.5	6.2	3.8	3.9
Zm00001d012981	GRMZM2G110881	3.6	0.2	0.7	0.9	5.2	23.0	0.9	0.2	0.6	0.8	36.3	1.0	3.4	1.1	19.4	106.5	7.9	1.3	3.1	0.8
Zm00001d013245	GRMZM5G862540	125.3	44.7	39.0	5.3	483.5	75.8	284.3	238.8	56.0	97.0	339.2	17.7	54.1	6.9	102.9	16.5	564.2	220.8	52.8	411.6
Zm00001d013862	GRMZM2G100158	42.3	0.3	9.0	0.0	56.3	38.8	2.1	11.3	7.5	4.1	11.0	0.0	1.5	0.0	1.2	49.4	0.9	6.8	1.4	2.0
Zm00001d014914	GRMZM2G345717	67.3	0.1	1.7	0.1	0.0	7.3	0.0	0.1	4.9	0.0	2.6	0.3	2.5	0.0	0.0	4.0	0.1	0.1	1.1	0.1
