gid	gid_v3	B_Anther	B_Ear	B_Embryo	B_Endosperm	B_Internode	B_Leaf	B_Leaf10	B_Root	B_Shoot	B_Tassel	W_Anther	W_Ear	W_Embryo	W_Endosperm	W_Internode	W_Leaf	W_Leaf10	W_Root	W_Shoot	W_Tassel
Zm00001d002744	GRMZM2G172936	0.1	1.2	3.1	2.1	0.2	0.0	1.4	0.8	0.6	0.1	0.1	2.1	4.5	8.4	0.0	0.0	3.7	1.4	0.8	1.7
Zm00001d005100	GRMZM2G146283	57.0	129.3	67.2	307.6	108.0	90.8	94.9	116.2	89.2	104.9	58.0	110.8	49.4	259.8	73.6	72.5	77.3	84.2	59.9	77.3
Zm00001d005622	GRMZM2G163418	2.6	2.6	1.0	0.4	8.7	2.3	6.2	2.7	2.0	3.1	3.0	2.0	0.5	0.0	3.1	2.1	0.4	2.2	0.6	2.0
Zm00001d008356	GRMZM2G024655	7.8	9.5	6.8	5.7	9.3	4.8	9.4	5.7	10.7	5.4	3.5	5.2	6.2	5.8	5.6	4.7	25.9	6.2	13.5	16.9
Zm00001d009622	GRMZM2G100982	0.2	0.2	0.0	0.0	0.0	0.0	0.4	0.0	0.7	0.4	0.1	0.6	0.3	0.0	0.0	0.0	0.0	0.1	0.4	0.0
Zm00001d009823	GRMZM5G868471	0.0	0.1	0.6	0.1	0.0	0.1	0.0	5.2	0.3	0.2	0.0	0.0	0.5	0.1	0.0	0.0	0.0	7.6	0.3	0.0
Zm00001d010713	GRMZM2G096600	9.9	20.8	17.6	5.2	28.8	9.3	4.5	10.4	7.7	15.7	8.9	18.5	14.1	4.7	18.8	5.3	5.9	12.2	8.0	16.9
Zm00001d011470	GRMZM5G830949	0.0	0.0	0.1	0.0	0.3	0.0	7.8	5.1	2.2	1.2	0.0	0.1	0.0	0.0	0.0	0.0	61.5	4.4	1.5	7.1
Zm00001d015127	GRMZM2G524937	9.2	34.7	47.9	12.5	28.6	14.0	23.5	17.1	23.2	18.4	11.6	40.5	44.5	3.3	20.7	10.0	20.0	14.0	21.5	15.3
Zm00001d017782	AC204212.4_FG001	2.5	3.9	0.0	0.0	0.2	0.1	9.2	1.4	6.6	1.1	1.4	3.5	0.0	0.0	0.2	1.3	1.2	0.6	5.2	0.8
Zm00001d017911	GRMZM2G020799	0.5	0.5	0.0	0.0	0.9	0.8	0.0	1.3	2.1	2.6	0.6	1.6	0.0	0.0	2.1	4.2	0.1	1.3	0.6	0.7
Zm00001d023523	GRMZM2G301122	177.2	117.9	113.9	37.2	107.1	154.9	92.7	116.3	120.4	82.9	166.2	93.5	72.8	22.9	79.1	124.4	70.3	88.9	95.8	68.9
Zm00001d023931	GRMZM2G052606	0.0	0.1	0.0	0.0	0.0	0.0	0.1	1.0	0.2	0.5	0.0	0.0	0.0	0.0	0.0	0.0	3.1	1.3	0.1	3.4
Zm00001d025957	GRMZM2G098442	2.5	0.2	0.4	0.1	1.4	0.3	1.1	21.6	1.5	3.1	1.7	0.7	0.4	0.1	0.8	0.1	0.4	17.0	0.9	2.4
Zm00001d026096	GRMZM2G010290	7.5	7.7	1.5	1.9	15.0	3.9	1.3	5.8	3.6	3.0	11.0	5.8	1.1	1.6	20.5	1.0	1.2	10.4	2.3	4.5
Zm00001d026204	GRMZM2G097638	0.2	0.0	0.4	0.0	4.1	0.0	0.6	0.5	0.2	0.3	0.2	0.0	0.0	0.0	0.2	0.1	0.1	0.4	0.0	0.0
Zm00001d026447	GRMZM2G421033	3.2	2.7	0.7	1.3	2.7	0.5	0.2	4.8	2.4	3.0	5.9	6.0	3.2	3.4	9.7	1.0	3.4	8.1	3.8	5.9
Zm00001d026518	GRMZM2G368898	11.6	20.5	15.5	6.9	16.3	13.8	6.1	13.2	12.6	10.1	7.2	18.4	12.8	7.8	11.7	6.9	7.0	11.5	7.7	11.2
Zm00001d027709	GRMZM2G086072	9.6	38.8	25.1	22.5	23.6	18.8	11.7	13.5	16.1	16.4	10.5	38.7	21.8	13.7	21.0	10.6	14.2	13.4	13.1	16.0
Zm00001d028854	GRMZM2G084799	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
Zm00001d030364	GRMZM2G076327	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	3.3	0.0	0.0	0.0	0.0	0.0	0.0
Zm00001d030644	GRMZM2G143046	12.9	0.5	0.0	1.0	0.1	3.8	0.0	0.0	0.3	2.3	45.3	0.1	0.0	0.3	0.0	0.6	0.1	0.2	0.7	0.5
Zm00001d032359	GRMZM5G800112	239.0	246.0	339.5	250.5	280.7	273.3	260.7	312.5	255.5	299.2	253.8	302.3	362.9	190.0	225.9	177.6	291.3	382.8	309.0	308.1
Zm00001d032691	GRMZM2G085974	26.4	0.1	0.1	0.0	0.3	11.9	0.9	37.0	1.0	59.9	4.7	0.2	0.0	0.0	0.8	45.6	0.2	18.5	1.0	0.7
Zm00001d032923	GRMZM2G010871	60.0	87.1	59.6	25.0	24.3	51.0	74.7	56.4	110.5	91.3	61.9	215.7	385.6	148.4	461.0	34.3	92.8	79.9	76.9	79.1
Zm00001d034653	GRMZM2G093725	0.0	0.1	0.0	0.0	0.2	0.1	0.3	0.1	0.5	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.0
Zm00001d036736	GRMZM2G134863	8.3	6.0	0.7	1.0	11.3	7.4	3.0	3.5	5.6	3.5	7.4	8.0	3.7	3.6	42.7	4.5	1.5	4.7	5.1	3.5
Zm00001d038846	GRMZM2G177386	77.7	54.0	7.6	3.7	69.3	91.0	16.5	24.3	11.9	32.0	94.0	46.6	7.0	1.6	148.3	53.1	36.2	66.5	13.0	26.0
Zm00001d039694	AC233943.1_FG002	2.8	18.6	0.7	0.0	0.0	0.0	0.0	9.3	1.2	1.7	3.3	16.4	0.2	0.0	0.4	0.0	0.0	12.9	0.7	3.4
Zm00001d040621	GRMZM2G051256	5.8	12.0	5.0	21.1	2.3	10.9	13.2	2.5	14.5	2.9	11.0	8.8	3.0	6.5	4.2	8.4	9.6	0.4	14.8	9.8
Zm00001d043036	GRMZM2G092517	2.7	0.1	1.7	0.1	0.0	0.0	0.2	2.8	0.9	1.0	0.7	0.0	3.2	0.1	0.0	0.0	2.5	3.8	0.9	0.9
Zm00001d043687	GRMZM2G088783	0.3	0.3	14.4	0.0	0.0	0.1	0.0	0.0	0.7	1.1	0.1	0.0	17.9	0.1	0.0	0.0	0.0	0.0	0.4	6.5
Zm00001d044107	GRMZM2G143328	47.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	79.4	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.3	0.1
Zm00001d044825	GRMZM2G392306	4.4	14.4	12.2	3.7	11.8	2.9	2.4	5.6	6.2	9.7	4.6	6.8	4.1	2.3	4.0	1.9	1.7	4.3	3.4	4.5
Zm00001d045204	GRMZM2G301860	9.1	0.3	2.5	2.5	11.1	8.0	0.2	1.9	0.5	6.4	7.2	0.8	2.8	1.8	29.8	1.5	0.2	1.9	0.4	0.8
Zm00001d045772	GRMZM2G167576	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0
Zm00001d048059	GRMZM5G894234	17.3	114.7	82.5	21.6	66.5	32.0	26.5	42.6	36.1	42.4	20.2	107.5	60.6	19.2	55.4	24.6	35.9	46.1	32.4	37.1
Zm00001d049991	GRMZM2G423292	3.9	32.9	12.9	11.1	8.4	5.3	7.6	9.7	8.2	15.4	3.3	29.7	11.7	10.2	5.9	4.4	7.8	9.8	7.3	12.5
Zm00001d051520	GRMZM5G833253	1.9	0.8	0.0	0.1	4.0	0.1	6.8	4.8	1.1	2.9	1.2	0.4	0.0	0.0	2.6	0.4	24.3	8.1	0.8	2.8
Zm00001d051891	GRMZM2G075499	0.2	0.0	0.3	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.5	0.0	0.2	0.1	0.0	0.0	0.0	2.2	0.0	0.0
Zm00001d052167	GRMZM2G173771	1.5	0.4	1.5	0.1	0.5	0.2	0.0	0.2	0.2	2.0	5.0	0.2	2.1	0.0	0.6	0.0	0.0	0.1	0.1	0.3
Zm00001d052621	GRMZM2G091433	46.6	54.0	50.3	75.9	87.2	68.3	24.2	50.6	38.7	54.0	41.7	49.5	44.0	67.6	53.5	58.4	42.8	50.9	27.9	46.9
Zm00001d052933	GRMZM2G078198	4.5	26.2	29.7	12.1	13.2	3.4	4.6	17.1	13.6	8.0	7.8	21.8	12.4	9.2	15.4	9.0	8.8	12.2	14.5	13.3
