reg	tgt
Zm00001d015127	Zm00001d045706
Zm00001d015127	Zm00001d049541
Zm00001d015127	Zm00001d018184
Zm00001d015127	Zm00001d051163
Zm00001d026518	Zm00001d037849
Zm00001d026518	Zm00001d015618
Zm00001d026518	Zm00001d049541
Zm00001d026518	Zm00001d018184
Zm00001d017911	Zm00001d044122
Zm00001d017911	Zm00001d044340
Zm00001d017911	Zm00001d017274
Zm00001d017911	Zm00001d051166
Zm00001d036736	Zm00001d033055
Zm00001d036736	Zm00001d052673
Zm00001d036736	Zm00001d002346
Zm00001d036736	Zm00001d032468
Zm00001d008356	Zm00001d027519
Zm00001d008356	Zm00001d045706
Zm00001d008356	Zm00001d044340
Zm00001d008356	Zm00001d052673
Zm00001d008356	Zm00001d049541
Zm00001d008356	Zm00001d032468
Zm00001d008356	Zm00001d018184
Zm00001d008356	Zm00001d012274
Zm00001d008356	Zm00001d017186
Zm00001d008356	Zm00001d017275
Zm00001d011470	Zm00001d045206
Zm00001d011470	Zm00001d032152
Zm00001d011470	Zm00001d049541
Zm00001d011470	Zm00001d017274
Zm00001d011470	Zm00001d017275
Zm00001d011470	Zm00001d051163
Zm00001d052621	Zm00001d015618
Zm00001d052621	Zm00001d045206
Zm00001d052621	Zm00001d049541
Zm00001d052621	Zm00001d012274
Zm00001d045772	Zm00001d052673
Zm00001d045772	Zm00001d012274
Zm00001d045772	Zm00001d003129
Zm00001d045772	Zm00001d051163
Zm00001d010713	Zm00001d027519
Zm00001d010713	Zm00001d045706
Zm00001d010713	Zm00001d044340
Zm00001d010713	Zm00001d045055
Zm00001d010713	Zm00001d052673
Zm00001d010713	Zm00001d009858
Zm00001d010713	Zm00001d019669
Zm00001d010713	Zm00001d017077
Zm00001d010713	Zm00001d018184
Zm00001d010713	Zm00001d012274
Zm00001d010713	Zm00001d017186
Zm00001d010713	Zm00001d017275
Zm00001d010713	Zm00001d017601
Zm00001d026096	Zm00001d020530
Zm00001d026096	Zm00001d017274
Zm00001d026096	Zm00001d017276
Zm00001d026096	Zm00001d037784
Zm00001d034653	Zm00001d011438
Zm00001d034653	Zm00001d045706
Zm00001d034653	Zm00001d044340
Zm00001d034653	Zm00001d052673
Zm00001d034653	Zm00001d032152
Zm00001d034653	Zm00001d019669
Zm00001d034653	Zm00001d049541
Zm00001d034653	Zm00001d050955
Zm00001d034653	Zm00001d018184
Zm00001d034653	Zm00001d018181
Zm00001d034653	Zm00001d012274
Zm00001d034653	Zm00001d017186
Zm00001d034653	Zm00001d017275
Zm00001d034653	Zm00001d017279
Zm00001d034653	Zm00001d017601
Zm00001d005100	Zm00001d045055
Zm00001d005100	Zm00001d017077
Zm00001d005100	Zm00001d051896
Zm00001d005100	Zm00001d017274
Zm00001d005100	Zm00001d051163
Zm00001d027709	Zm00001d045055
Zm00001d027709	Zm00001d032152
Zm00001d027709	Zm00001d049541
Zm00001d027709	Zm00001d020530
Zm00001d009622	Zm00001d032152
Zm00001d009622	Zm00001d049541
Zm00001d009622	Zm00001d012274
Zm00001d009622	Zm00001d003129
Zm00001d045204	Zm00001d044122
Zm00001d045204	Zm00001d044340
Zm00001d045204	Zm00001d015618
Zm00001d045204	Zm00001d049541
Zm00001d026447	Zm00001d027519
Zm00001d026447	Zm00001d044122
Zm00001d026447	Zm00001d045706
Zm00001d026447	Zm00001d044340
Zm00001d026447	Zm00001d052673
Zm00001d026447	Zm00001d018184
Zm00001d026447	Zm00001d012274
Zm00001d026447	Zm00001d017186
Zm00001d026447	Zm00001d017601
Zm00001d002744	Zm00001d027519
Zm00001d002744	Zm00001d045706
Zm00001d002744	Zm00001d045055
Zm00001d002744	Zm00001d050955
Zm00001d002744	Zm00001d017601
Zm00001d052167	Zm00001d045055
Zm00001d052167	Zm00001d049541
Zm00001d052167	Zm00001d017275
Zm00001d052167	Zm00001d051163
Zm00001d049991	Zm00001d045706
Zm00001d049991	Zm00001d044340
Zm00001d049991	Zm00001d052673
Zm00001d049991	Zm00001d045206
Zm00001d049991	Zm00001d049541
Zm00001d049991	Zm00001d017186
Zm00001d049991	Zm00001d020530
Zm00001d049991	Zm00001d017275
Zm00001d032923	Zm00001d045055
Zm00001d032923	Zm00001d032969
Zm00001d032923	Zm00001d017077
Zm00001d032923	Zm00001d051896
Zm00001d032923	Zm00001d051163
Zm00001d052933	Zm00001d027519
Zm00001d052933	Zm00001d044340
Zm00001d052933	Zm00001d052673
Zm00001d052933	Zm00001d049541
Zm00001d052933	Zm00001d018184
Zm00001d052933	Zm00001d017186
Zm00001d052933	Zm00001d017275
Zm00001d039694	Zm00001d044122
Zm00001d039694	Zm00001d045055
Zm00001d039694	Zm00001d034635
Zm00001d039694	Zm00001d051166
Zm00001d043036	Zm00001d027711
Zm00001d043036	Zm00001d044122
Zm00001d043036	Zm00001d011438
Zm00001d043036	Zm00001d026370
Zm00001d043036	Zm00001d052673
Zm00001d043036	Zm00001d032152
Zm00001d043036	Zm00001d034635
Zm00001d043036	Zm00001d049541
Zm00001d043036	Zm00001d051870
Zm00001d043036	Zm00001d010521
Zm00001d043036	Zm00001d001960
Zm00001d043036	Zm00001d051896
Zm00001d043036	Zm00001d018181
Zm00001d043036	Zm00001d031893
Zm00001d043036	Zm00001d051166
Zm00001d043036	Zm00001d017601
Zm00001d043036	Zm00001d047796
Zm00001d043036	Zm00001d007403
Zm00001d051891	Zm00001d044122
Zm00001d051891	Zm00001d011438
Zm00001d051891	Zm00001d026370
Zm00001d051891	Zm00001d052673
Zm00001d051891	Zm00001d032152
Zm00001d051891	Zm00001d034635
Zm00001d051891	Zm00001d010521
Zm00001d051891	Zm00001d050955
Zm00001d051891	Zm00001d001960
Zm00001d051891	Zm00001d051896
Zm00001d051891	Zm00001d018181
Zm00001d051891	Zm00001d012274
Zm00001d051891	Zm00001d032527
Zm00001d051891	Zm00001d017274
Zm00001d051891	Zm00001d003016
Zm00001d051891	Zm00001d017275
Zm00001d051891	Zm00001d051166
Zm00001d051891	Zm00001d051163
Zm00001d051891	Zm00001d003015
Zm00001d051891	Zm00001d017279
Zm00001d051891	Zm00001d017276
Zm00001d051891	Zm00001d017601
Zm00001d051891	Zm00001d047796
Zm00001d009823	Zm00001d046915
Zm00001d009823	Zm00001d044122
Zm00001d009823	Zm00001d011438
Zm00001d009823	Zm00001d044340
Zm00001d009823	Zm00001d045055
Zm00001d009823	Zm00001d002346
Zm00001d009823	Zm00001d032152
Zm00001d009823	Zm00001d034635
Zm00001d009823	Zm00001d049541
Zm00001d009823	Zm00001d051870
Zm00001d009823	Zm00001d017077
Zm00001d009823	Zm00001d051896
Zm00001d009823	Zm00001d018181
Zm00001d009823	Zm00001d003129
Zm00001d009823	Zm00001d032527
Zm00001d009823	Zm00001d017274
Zm00001d009823	Zm00001d003016
Zm00001d009823	Zm00001d051166
Zm00001d009823	Zm00001d003015
Zm00001d009823	Zm00001d017279
Zm00001d009823	Zm00001d017276
Zm00001d009823	Zm00001d051161
Zm00001d009823	Zm00001d017601
Zm00001d009823	Zm00001d047796
Zm00001d030364	Zm00001d044122
Zm00001d030364	Zm00001d044340
Zm00001d030364	Zm00001d034635
Zm00001d030364	Zm00001d032527
Zm00001d030364	Zm00001d051166
Zm00001d032359	Zm00001d045706
Zm00001d032359	Zm00001d044340
Zm00001d032359	Zm00001d032969
Zm00001d032359	Zm00001d052673
Zm00001d032359	Zm00001d018184
Zm00001d032359	Zm00001d012274
Zm00001d032359	Zm00001d017186
Zm00001d032359	Zm00001d017274
Zm00001d032359	Zm00001d017275
Zm00001d032359	Zm00001d051163
Zm00001d030644	Zm00001d045706
Zm00001d030644	Zm00001d044340
Zm00001d030644	Zm00001d052673
Zm00001d030644	Zm00001d032152
Zm00001d030644	Zm00001d049541
Zm00001d030644	Zm00001d012274
Zm00001d030644	Zm00001d017186
Zm00001d030644	Zm00001d017275
Zm00001d030644	Zm00001d017601
Zm00001d023931	Zm00001d044122
Zm00001d023931	Zm00001d045055
Zm00001d023931	Zm00001d032152
