chr	start	end	length	abs_summit	pileup	-LOG10(pvalue)	fold_enrichment	-LOG10(qvalue)	name
UNKNOWN	449070	449522	453	449311	25	27.45713	13.25895	23.36074	o2_uniq_peak_1
UNKNOWN	468710	469015	306	468906	14	8.44296	5.018	4.84432	o2_uniq_peak_2
UNKNOWN	553736	554360	625	554072	71	62.31091	14.46226	57.7478	o2_uniq_peak_3
chloroplast	52405	52731	327	52600	316	20.03066	1.7608	16.0778	o2_uniq_peak_4
chr1	3040810	3041325	516	3041078	75	76.89703	19.26943	72.14531	o2_uniq_peak_5
chr1	3079941	3080268	328	3080110	21	15.37813	7.40111	11.5334	o2_uniq_peak_6
chr1	3178265	3178603	339	3178436	22	16.86746	7.97447	12.98524	o2_uniq_peak_7
chr1	3470230	3470613	384	3470416	31	17.90151	6.42767	13.99335	o2_uniq_peak_8
chr1	3669089	3669509	421	3669295	33	38.96929	17.04586	34.69612	o2_uniq_peak_9
chr1	4240529	4241029	501	4240795	89	85.90587	18.07783	81.03114	o2_uniq_peak_10
chr1	4445935	4446346	412	4446114	11	9.27215	6.11951	5.63494	o2_uniq_peak_11
chr1	4446908	4447238	331	4447092	14	8.44296	5.018	4.84432	o2_uniq_peak_12
chr1	4601910	4602235	326	4602065	14	9.52857	5.6632	5.87412	o2_uniq_peak_13
chr1	5022135	5022545	411	5022339	25	15.34465	6.44778	11.50048	o2_uniq_peak_14
chr1	5224673	5225117	445	5224874	21	12.83845	6.02795	9.0675	o2_uniq_peak_15
chr1	7361193	7361590	398	7361389	35	31.65777	12.04321	27.49052	o2_uniq_peak_16
chr1	7920795	7921254	460	7921015	22	20.58322	10.15026	16.61619	o2_uniq_peak_17
chr1	8100853	8101174	322	8101037	13	8.86558	5.46799	5.24854	o2_uniq_peak_18
chr1	9998832	9999241	410	9999046	33	22.48298	8.02175	18.48121	o2_uniq_peak_19
chr1	10991972	10992453	482	10992228	35	35.55881	14.22409	31.33273	o2_uniq_peak_20
chr1	12249985	12250358	374	12250164	22	16.44651	7.73752	12.57619	o2_uniq_peak_21
chr1	12422861	12423349	489	12423075	47	35.80833	10.3869	31.58032	o2_uniq_peak_22
chr1	12852173	12852479	307	12852349	17	15.19778	8.37916	11.36207	o2_uniq_peak_23
chr1	15518002	15518297	296	15518189	15	9.31275	5.32984	5.67063	o2_uniq_peak_24
chr1	17495016	17495571	556	17495251	29	19.59061	7.60635	15.64572	o2_uniq_peak_25
chr1	17668181	17668575	395	17668368	26	23.26585	10.42552	19.24567	o2_uniq_peak_26
chr1	19665809	19666104	296	19665954	8	6.08938	4.58964	2.66715	o2_uniq_peak_27
chr1	22380384	22380925	542	22380652	68	52.29389	11.5518	47.85079	o2_uniq_peak_28
chr1	22894683	22895008	326	22894848	21	12.56165	5.88552	8.8028	o2_uniq_peak_29
chr1	22975755	22976232	478	22975999	60	56.01852	15.3118	51.5337	o2_uniq_peak_30
chr1	24049424	24049892	469	24049686	23	18.59774	8.6754	14.67373	o2_uniq_peak_31
chr1	25211739	25212143	405	25211933	25	13.04663	5.38604	9.26934	o2_uniq_peak_32
chr1	25741336	25741855	520	25741604	43	35.2197	11.23989	30.99754	o2_uniq_peak_33
chr1	25814144	25814462	319	25814363	9	6.97434	5.01349	3.47265	o2_uniq_peak_34
chr1	26561248	26561608	361	26561418	17	12.08355	6.50655	8.33629	o2_uniq_peak_35
chr1	27778248	27778595	348	27778415	24	12.21184	5.17889	8.46213	o2_uniq_peak_36
chr1	27889023	27889478	456	27889244	33	21.32201	7.50074	17.34169	o2_uniq_peak_37
chr1	28225510	28225888	379	28225781	13	5.49464	3.51418	2.15256	o2_uniq_peak_38
chr1	28701837	28702287	451	28702072	39	25.6066	8.03459	21.54422	o2_uniq_peak_39
chr1	29361922	29362281	360	29362113	16	15.23881	8.66931	11.39862	o2_uniq_peak_40
chr1	30111638	30112164	527	30111897	83	70.13737	14.06306	65.47375	o2_uniq_peak_41
chr1	31501205	31501593	389	31501379	18	17.80986	9.68923	13.90354	o2_uniq_peak_42
chr1	32836369	32836759	391	32836516	19	14.17329	7.2295	10.36296	o2_uniq_peak_43
chr1	33422905	33423289	385	33423081	21	14.51394	6.92126	10.69435	o2_uniq_peak_44
chr1	33533641	33533971	331	33533815	22	12.73116	5.7733	8.96548	o2_uniq_peak_45
chr1	33880631	33881096	466	33880931	10	6.33714	4.44977	2.88969	o2_uniq_peak_46
chr1	36888297	36888653	357	36888482	29	20.97322	8.28678	16.99951	o2_uniq_peak_47
chr1	37998499	37998938	440	37998727	43	22.81923	6.31484	18.80877	o2_uniq_peak_48
chr1	38187572	38187927	356	38187743	17	16.51266	9.17927	12.63737	o2_uniq_peak_49
chr1	38310540	38310853	314	38310674	19	9.64887	4.78515	5.99262	o2_uniq_peak_50
chr1	40127445	40127756	312	40127643	15	13.98962	8.15935	10.18233	o2_uniq_peak_51
chr1	40589323	40589776	454	40589564	51	38.41538	10.44497	34.14727	o2_uniq_peak_52
chr1	41222515	41222845	331	41222703	15	11.90635	6.88222	8.16731	o2_uniq_peak_53
chr1	42020456	42020796	341	42020626	25	10.56547	4.35285	6.87134	o2_uniq_peak_54
chr1	44276929	44277360	432	44277137	31	24.50574	9.53727	20.46392	o2_uniq_peak_55
chr1	44326790	44327263	474	44327012	57	47.12169	12.39293	42.74101	o2_uniq_peak_56
chr1	44367118	44367649	532	44367395	63	69.12764	20.51459	64.48167	o2_uniq_peak_57
chr1	44885949	44886284	336	44886088	16	15.23881	8.66931	11.39862	o2_uniq_peak_58
