gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d000005	1	mu1089649	UFMu-13835	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	5_prime_UTR_variant
Zm00001d000027	2	mu1037544|mu1055474	UFMu-04157|UFMu-07172	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d000029	2	mu1034701|mu1054647	UFMu-03254|UFMu-06784	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	stop_gained
Zm00001d000034	1	mu1049870	UFMu-06282	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000038	5	mu1008257|mu1054645|mu1068754|mu1080143|mu1093662	UFMu-00281,UFMu-01015|UFMu-06686|UFMu-08361|UFMu-09139|UFMu-12035	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	missense_variant
Zm00001d000039	2	mu1029866|mu1078834	UFMu-02877|UFMu-09026	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000042	9	mu1040154|mu1040155|mu1050696|mu1054643|mu1061243|mu1080142|mu1087358|mu1093659|mu1093660	UFMu-03700,UFMu-04886|UFMu-03270,UFMu-04886,UFMu-05383|UFMu-06453|UFMu-06863|UFMu-08162|UFMu-09345,UFMu-10379|UFMu-11085|UFMu-11434|UFMu-11159	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	frameshift_variant
Zm00001d000045	2	mu1016510|mu1040153	UFMu-01558,UFMu-10832,UFMu-12110,UFMu-13360,UFMu-13669|UFMu-04164	2	Trihelix	46	1	1/46	TRUE	NA	NA	mRNA	moderate	missense_variant
Zm00001d000052	1	mu1068750	UFMu-08561	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	modifier	5_prime_UTR_variant
Zm00001d000053	1	mu1040151	UFMu-02921	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
