mid	sids	gid	etype	eidx
mu1000002	UFMu-00298	Zm00001d019461	intron	1
mu1000133	UFMu-00428,UFMu-03308,UFMu-03733	Zm00001d008614	utr5	1
mu1000142	UFMu-00566,UFMu-01610,UFMu-03924,UFMu-04413,UFMu-05381,UFMu-10993	Zm00001d014797	utr5	1
mu1000153	UFMu-00286,UFMu-03038,UFMu-05235,UFMu-05831,UFMu-11128	Zm00001d002258	utr5	1
mu1000283	UFMu-00092,UFMu-03233	Zm00001d050106	utr5	1
mu1000357	UFMu-01172,UFMu-05970	Zm00001d031701	utr5	1
mu1000420	UFMu-00162	Zm00001d045159	utr5	1
mu1000641	UFMu-00452,UFMu-05555	Zm00001d047209	utr5	1
mu1000648	UFMu-00525	Zm00001d047941	utr5	1
mu1000739	UFMu-00416,UFMu-01164,UFMu-03485,UFMu-04559,UFMu-05019	Zm00001d026273	utr5	1
mu1000777	UFMu-00385,UFMu-03396,UFMu-04282	Zm00001d016892	utr5	1
mu1000791	UFMu-00247	Zm00001d004836	cds	2
mu1000984	UFMu-06192,UFMu-06916,UFMu-00013	Zm00001d020642	utr5	1
mu1001043	UFMu-00423,UFMu-10590	Zm00001d007573	utr5	1
mu1001064	UFMu-00345,UFMu-00874,UFMu-01544,UFMu-03665	Zm00001d013632	utr5	1
mu1001170	UFMu-00359	Zm00001d015845	intron	2
mu1001170_2	UFMu-00359	Zm00001d045823	intron	1
mu1001172	UFMu-01250,UFMu-04841	Zm00001d021181	intron	1
mu1001255	UFMu-00369	Zm00001d043089	utr5	1
mu1001260	UFMu-10379,UFMu-00265,UFMu-01533,UFMu-04067	Zm00001d017960	utr5	1
mu1001288	UFMu-05908	Zm00001d039265	intron	1
mu1001490	UFMu-00381,UFMu-00920,UFMu-09464	Zm00001d041599	utr5	1
mu1001494	UFMu-00402,UFMu-11109	Zm00001d040390	intron	2
mu1001521	UFMu-00386,UFMu-02554,UFMu-05341,UFMu-05737	Zm00001d052904	cds	1
mu1001570	UFMu-00511	Zm00001d052903	utr3	2
mu1001573	UFMu-00059	Zm00001d022407	intron	1
mu1001579	UFMu-00221,UFMu-10568	Zm00001d009230	utr5	1
mu1001582	UFMu-00285	Zm00001d047689	cds	1
mu1001602	UFMu-00511,UFMu-03990	Zm00001d044451	utr5	1
mu1001648	UFMu-00227	Zm00001d005297	intron	3
mu1001652	UFMu-00345,UFMu-03667,UFMu-06552	Zm00001d006457	utr5	1
mu1001654	UFMu-00424	Zm00001d033169	utr5	1
mu1001660	UFMu-00466,UFMu-00862,UFMu-05679	Zm00001d038754	utr5	1
mu1001664	UFMu-00556,UFMu-01489,UFMu-05001	Zm00001d032158	cds	2
mu1001679	UFMu-00285,UFMu-12611	Zm00001d001952	intron	1
mu1001702	UFMu-00277,UFMu-00951,UFMu-02542,UFMu-03118,UFMu-03705,UFMu-04893,UFMu-11015	Zm00001d003229	cds	8
